train_loss,val_loss,train_box_loss,train_cls_loss,val_box_loss,val_cls_loss,lr,epoch_time,val_map50,val_precision,val_recall
0.00047578098019585013,0.0003048964717891067,0.0001981771638384089,0.000277603801805526,0.00010922800720436499,0.00019566847186069936,9.755282581475769e-05,127.64885902404785,0.5,0.5,0.5
0.00030478794360533357,0.00018095827545039356,0.00010912863217527047,0.0001956593187060207,6.801600829930976e-05,0.00011294225987512618,9.045084971874738e-05,123.34957265853882,0.5,0.5,0.5
0.00018076557898893952,0.0001253781229024753,6.804231816204265e-05,0.00011272326810285449,4.6262550313258544e-05,7.911556895123795e-05,7.938926261462366e-05,139.794105052948,0.5,0.5,0.5
0.00012478878488764167,0.00011320506018819287,4.616690057446249e-05,7.862188795115799e-05,4.6144778025336564e-05,6.706028216285631e-05,6.545084971874738e-05,120.40582203865051,0.5,0.5,0.5
0.00011316133895888925,0.00010825258505064994,4.625209840014577e-05,6.690924055874348e-05,4.137966243433766e-05,6.687291897833347e-05,5e-05,128.5778956413269,0.5,0.5,0.5
0.00010882941569434479,9.952459367923439e-05,4.166659346083179e-05,6.7162822233513e-05,3.408635893720202e-05,6.543823838001117e-05,3.4549150281252636e-05,143.07209753990173,0.5,0.5,0.5
9.95109585346654e-05,8.937663369579241e-05,3.409212513361126e-05,6.541883340105414e-05,3.056076093344018e-05,5.881587276235223e-05,2.061073738537635e-05,136.02948117256165,0.5,0.5,0.5
8.902884292183444e-05,8.17141990410164e-05,3.049384213227313e-05,5.853500260855071e-05,2.9501044991775416e-05,5.221315223025158e-05,9.549150281252633e-06,121.63391447067261,0.5,0.5,0.5
8.176128176273778e-05,7.72907369537279e-05,2.9443652238114737e-05,5.231763134361245e-05,2.892441989388317e-05,4.836631705984473e-05,2.4471741852423237e-06,128.6190311908722,0.5,0.5,0.5
7.707767508691177e-05,7.583366823382676e-05,2.890705582103692e-05,4.817061926587485e-05,2.87895709334407e-05,4.7044097300386056e-05,0.0001,146.85299706459045,0.5,0.5,0.5
7.632432971149683e-05,8.887222793418914e-05,2.8654696507146582e-05,4.766962956637144e-05,3.227795968996361e-05,5.659426824422553e-05,9.938441702975689e-05,135.14566683769226,0.5,0.5,0.5
8.953449287218973e-05,0.00011531214113347232,3.240666774217971e-05,5.7127825130010024e-05,3.608035694924183e-05,7.923178054625168e-05,9.755282581475769e-05,116.39125943183899,0.5,0.5,0.5
0.00011558168625924736,0.00010667055903468281,3.6203316994942725e-05,7.937836926430464e-05,3.67256325262133e-05,6.99449228704907e-05,9.45503262094184e-05,113.32926726341248,0.5,0.5,0.5
0.00010678630496840924,9.196369501296431e-05,3.669717625598423e-05,7.00891250744462e-05,3.2920601370278746e-05,5.9043090004706755e-05,9.045084971874738e-05,108.10418939590454,0.5,0.5,0.5
9.213118755724281e-05,8.14277955214493e-05,3.29443791997619e-05,5.9186804719502106e-05,2.8028045562678017e-05,5.3399751777760684e-05,8.535533905932738e-05,111.28011679649353,0.5,0.5,0.5
8.125166641548276e-05,6.911566742928699e-05,2.8018836019327864e-05,5.32328340341337e-05,2.488298196112737e-05,4.4232685468159616e-05,7.938926261462366e-05,113.79239273071289,0.5,0.5,0.5
6.896241393405944e-05,5.567002881434746e-05,2.4810038667055778e-05,4.4152377085993066e-05,2.2971245925873518e-05,3.269878288847394e-05,7.269952498697734e-05,117.43288016319275,0.5,0.5,0.5
5.579366552410647e-05,4.9991445848718286e-05,2.303096880496014e-05,3.276269490015693e-05,2.1382902559707873e-05,2.8608545107999817e-05,6.545084971874738e-05,126.53484463691711,0.5,0.5,0.5
5.0029448175337166e-05,5.457585211843252e-05,2.1443631339934655e-05,2.8585818654391915e-05,1.9776651242864318e-05,3.479920269455761e-05,5.782172325201155e-05,126.26853823661804,0.5,0.5,0.5
5.4607833590125665e-05,5.5164007790153846e-05,1.973671533050947e-05,3.4871118259616196e-05,1.9840317690977827e-05,3.532369009917602e-05,5e-05,130.58646607398987,0.5,0.5,0.5
5.5672564485576004e-05,5.2531151595758274e-05,1.98802154045552e-05,3.57923490810208e-05,2.0266899809939787e-05,3.226425178581849e-05,4.217827674798847e-05,112.38898706436157,0.5,0.5,0.5
5.255058204056695e-05,4.838786117034033e-05,2.03096387849655e-05,3.224094325560145e-05,2.004085217777174e-05,2.834700899256859e-05,3.4549150281252636e-05,118.92891097068787,0.5,0.5,0.5
4.825836367672309e-05,4.4223692384548485e-05,1.9988206986454315e-05,2.827015850925818e-05,1.8987540897796862e-05,2.523614966776222e-05,2.7300475013022663e-05,118.96786451339722,0.5,0.5,0.5
4.3937503505731e-05,4.0954055293696e-05,1.8965540220960975e-05,2.4971963284770027e-05,1.7806465621106327e-05,2.3147589672589675e-05,2.061073738537635e-05,122.0784969329834,0.5,0.5,0.5
4.08647429139819e-05,3.938663940061815e-05,1.7810980352805927e-05,2.3053762561175972e-05,1.6993191820802167e-05,2.2393447579815984e-05,1.4644660940672627e-05,119.00161790847778,0.5,0.5,0.5
3.9166014175862074e-05,3.86751489713788e-05,1.697953666734975e-05,2.2186477508512326e-05,1.6539588614250533e-05,2.213556035712827e-05,9.549150281252633e-06,115.23846817016602,0.5,0.5,0.5
3.857091724057682e-05,3.825574094662443e-05,1.6498146578669548e-05,2.207277066190727e-05,1.6251287888735533e-05,2.2004453057888895e-05,5.449673790581611e-06,110.77893662452698,0.5,0.5,0.5
3.8279460568446666e-05,3.801228740485385e-05,1.624813194212038e-05,2.2031326807336882e-05,1.6155923731275834e-05,2.1856361854588613e-05,2.4471741852423237e-06,115.16530704498291,0.5,0.5,0.5
3.8282902096398175e-05,3.8352802221197635e-05,1.622430863790214e-05,2.2058593458496034e-05,1.6249987311311997e-05,2.210281672887504e-05,6.15582970243117e-07,132.23560976982117,0.5,0.5,0.5
3.8155747461132705e-05,3.804305015364662e-05,1.613190397620201e-05,2.2023845303920098e-05,1.607302692718804e-05,2.197002322645858e-05,0.0001,127.5898506641388,0.5,0.5,0.5
3.8064717955421656e-05,4.1839375626295805e-05,1.6118041457957588e-05,2.1946676497464068e-05,1.775806231307797e-05,2.408131149422843e-05,9.98458666866564e-05,133.31746649742126,0.5,0.5,0.5
4.149821324972436e-05,4.625044311978854e-05,1.7602207663003355e-05,2.38960037677316e-05,1.916540895763319e-05,2.7085034162155353e-05,9.938441702975689e-05,137.42325854301453,0.5,0.5,0.5
4.587540024658665e-05,4.212191197439097e-05,1.8996206563315354e-05,2.68791955022607e-05,1.7926524378708564e-05,2.4195387595682405e-05,9.861849601988383e-05,110.53963208198547,0.5,0.5,0.5
4.20041469624266e-05,3.87876461900305e-05,1.7925098291016184e-05,2.4079050490399823e-05,1.8059665308101103e-05,2.0727980881929398e-05,9.755282581475769e-05,125.27771043777466,0.5,0.5,0.5
3.8880596548551694e-05,3.913469845429063e-05,1.809517380024772e-05,2.0785422748303972e-05,1.8235918105347082e-05,2.0898780348943546e-05,9.619397662556435e-05,132.71621584892273,0.5,0.5,0.5
3.9174345147330314e-05,3.764329449040815e-05,1.8234979506814852e-05,2.093936564051546e-05,1.6650325051159598e-05,2.099296762025915e-05,9.45503262094184e-05,122.64085245132446,0.5,0.5,0.5
3.7618399801431224e-05,3.3555261325091124e-05,1.665721538302023e-05,2.0961184418410994e-05,1.4889295016473625e-05,1.8665965399122797e-05,9.263200821770461e-05,114.70405864715576,0.5,0.5,0.5
3.362922871019691e-05,3.300141543149948e-05,1.4873683539917693e-05,1.8755546989268623e-05,1.4628189092036337e-05,1.8373228158452548e-05,9.045084971874738e-05,119.52810263633728,0.5,0.5,0.5
3.322718112030998e-05,3.281448516645469e-05,1.4794683011132292e-05,1.843249992816709e-05,1.3840651263308246e-05,1.897383299365174e-05,8.802029828000156e-05,116.41126370429993,0.5,0.5,0.5
3.2756397558841854e-05,2.957094693556428e-05,1.3840635801898316e-05,1.8915763575932942e-05,1.2481769772421103e-05,1.708917807263788e-05,8.535533905932738e-05,116.63805794715881,0.5,0.5,0.5
2.94495839625597e-05,2.8770778953912668e-05,1.245472867594799e-05,1.699485619610641e-05,1.2714017429971136e-05,1.6056761523941532e-05,8.247240241650919e-05,117.63442897796631,0.5,0.5,0.5
